Id2,Geography,Estimate; Total Number of Housing Units,Margin of Error; Total
6059099202,"Census Tract 992.02, Orange County, California",1908,51
6059099203,"Census Tract 992.03, Orange County, California",1520,34
6059099204,"Census Tract 992.04, Orange County, California",1381,42
6059099212,"Census Tract 992.12, Orange County, California",1741,44
6059099214,"Census Tract 992.14, Orange County, California",1488,38
6059099215,"Census Tract 992.15, Orange County, California",1921,48
6059099216,"Census Tract 992.16, Orange County, California",1446,54
6059099217,"Census Tract 992.17, Orange County, California",890,20
6059099220,"Census Tract 992.20, Orange County, California",2314,169
6059099222,"Census Tract 992.22, Orange County, California",1447,56
6059099223,"Census Tract 992.23, Orange County, California",1697,50
6059099224,"Census Tract 992.24, Orange County, California",1050,28
6059099225,"Census Tract 992.25, Orange County, California",1039,28
6059099226,"Census Tract 992.26, Orange County, California",1138,35
6059099227,"Census Tract 992.27, Orange County, California",2034,59
6059099229,"Census Tract 992.29, Orange County, California",2398,61
6059099230,"Census Tract 992.30, Orange County, California",1536,49
6059099231,"Census Tract 992.31, Orange County, California",1766,49
6059099232,"Census Tract 992.32, Orange County, California",1966,45
6059099233,"Census Tract 992.33, Orange County, California",1085,32
6059099234,"Census Tract 992.34, Orange County, California",1175,31
6059099235,"Census Tract 992.35, Orange County, California",1971,60
6059099237,"Census Tract 992.37, Orange County, California",1262,28
6059099238,"Census Tract 992.38, Orange County, California",1379,27
6059099239,"Census Tract 992.39, Orange County, California",1332,61
6059099240,"Census Tract 992.40, Orange County, California",2176,40
6059099241,"Census Tract 992.41, Orange County, California",1646,40
6059099242,"Census Tract 992.42, Orange County, California",1136,28
6059099243,"Census Tract 992.43, Orange County, California",1824,70
6059099244,"Census Tract 992.44, Orange County, California",1979,37
6059099245,"Census Tract 992.45, Orange County, California",1100,26
6059099246,"Census Tract 992.46, Orange County, California",1236,24
6059099247,"Census Tract 992.47, Orange County, California",812,21
6059099248,"Census Tract 992.48, Orange County, California",1490,42
6059099249,"Census Tract 992.49, Orange County, California",873,28
6059099250,"Census Tract 992.50, Orange County, California",1107,37
6059099251,"Census Tract 992.51, Orange County, California",2024,103
6059099305,"Census Tract 993.05, Orange County, California",3197,56
6059099306,"Census Tract 993.06, Orange County, California",2748,114
6059099307,"Census Tract 993.07, Orange County, California",1528,27
6059099308,"Census Tract 993.08, Orange County, California",2188,41
6059099309,"Census Tract 993.09, Orange County, California",2010,72
6059099310,"Census Tract 993.10, Orange County, California",2249,78
6059099311,"Census Tract 993.11, Orange County, California",2057,87
6059099402,"Census Tract 994.02, Orange County, California",2137,64
6059099404,"Census Tract 994.04, Orange County, California",1793,35
6059099405,"Census Tract 994.05, Orange County, California",1703,42
6059099406,"Census Tract 994.06, Orange County, California",1727,41
6059099407,"Census Tract 994.07, Orange County, California",948,38
6059099408,"Census Tract 994.08, Orange County, California",1668,35
6059099410,"Census Tract 994.10, Orange County, California",1629,34
6059099411,"Census Tract 994.11, Orange County, California",2300,80
6059099412,"Census Tract 994.12, Orange County, California",1953,54
6059099413,"Census Tract 994.13, Orange County, California",3472,61
6059099415,"Census Tract 994.15, Orange County, California",1976,60
6059099416,"Census Tract 994.16, Orange County, California",2315,59
6059099417,"Census Tract 994.17, Orange County, California",1956,60
6059099502,"Census Tract 995.02, Orange County, California",101,53
6059099504,"Census Tract 995.04, Orange County, California",986,33
6059099506,"Census Tract 995.06, Orange County, California",875,47
6059099508,"Census Tract 995.08, Orange County, California",2211,41
6059099509,"Census Tract 995.09, Orange County, California",3021,91
6059099510,"Census Tract 995.10, Orange County, California",3729,115
6059099511,"Census Tract 995.11, Orange County, California",2011,83
6059099512,"Census Tract 995.12, Orange County, California",1731,90
6059099513,"Census Tract 995.13, Orange County, California",1363,50
6059099514,"Census Tract 995.14, Orange County, California",2497,52
6059099601,"Census Tract 996.01, Orange County, California",2117,56
6059099602,"Census Tract 996.02, Orange County, California",1067,35
6059099603,"Census Tract 996.03, Orange County, California",2329,49
6059099604,"Census Tract 996.04, Orange County, California",1225,26
6059099605,"Census Tract 996.05, Orange County, California",1351,24
6059099701,"Census Tract 997.01, Orange County, California",1873,57
6059099702,"Census Tract 997.02, Orange County, California",2691,108
6059099703,"Census Tract 997.03, Orange County, California",1674,42
6059099801,"Census Tract 998.01, Orange County, California",1531,42
6059099802,"Census Tract 998.02, Orange County, California",1518,50
6059099803,"Census Tract 998.03, Orange County, California",1734,49
6059099902,"Census Tract 999.02, Orange County, California",1282,38
6059099903,"Census Tract 999.03, Orange County, California",1461,47
6059099904,"Census Tract 999.04, Orange County, California",2156,65
6059099905,"Census Tract 999.05, Orange County, California",1397,31
6059099906,"Census Tract 999.06, Orange County, California",1663,43
6059110001,"Census Tract 1100.01, Orange County, California",1477,46
6059110003,"Census Tract 1100.03, Orange County, California",1169,59
6059110004,"Census Tract 1100.04, Orange County, California",1650,48
6059110005,"Census Tract 1100.05, Orange County, California",1134,34
6059110006,"Census Tract 1100.06, Orange County, California",1286,66
6059110007,"Census Tract 1100.07, Orange County, California",1933,57
6059110008,"Census Tract 1100.08, Orange County, California",1997,60
6059110010,"Census Tract 1100.10, Orange County, California",1363,40
6059110011,"Census Tract 1100.11, Orange County, California",1059,34
6059110012,"Census Tract 1100.12, Orange County, California",1779,59
6059110014,"Census Tract 1100.14, Orange County, California",1922,100
6059110015,"Census Tract 1100.15, Orange County, California",1206,70
6059110102,"Census Tract 1101.02, Orange County, California",1822,86
6059110104,"Census Tract 1101.04, Orange County, California",2082,65
6059110106,"Census Tract 1101.06, Orange County, California",1211,48
6059110108,"Census Tract 1101.08, Orange County, California",1042,58
6059110109,"Census Tract 1101.09, Orange County, California",1709,66
6059110110,"Census Tract 1101.10, Orange County, California",1929,80
6059110111,"Census Tract 1101.11, Orange County, California",1873,56
6059110113,"Census Tract 1101.13, Orange County, California",672,49
6059110114,"Census Tract 1101.14, Orange County, California",1461,47
6059110115,"Census Tract 1101.15, Orange County, California",1207,65
6059110116,"Census Tract 1101.16, Orange County, California",1454,79
6059110117,"Census Tract 1101.17, Orange County, California",2016,61
6059110118,"Census Tract 1101.18, Orange County, California",719,26
6059110201,"Census Tract 1102.01, Orange County, California",2523,86
6059110202,"Census Tract 1102.02, Orange County, California",2379,47
6059110203,"Census Tract 1102.03, Orange County, California",1748,37
6059110301,"Census Tract 1103.01, Orange County, California",2177,70
6059110302,"Census Tract 1103.02, Orange County, California",1691,51
6059110303,"Census Tract 1103.03, Orange County, California",1511,52
6059110304,"Census Tract 1103.04, Orange County, California",1313,59
6059110401,"Census Tract 1104.01, Orange County, California",1413,49
6059110402,"Census Tract 1104.02, Orange County, California",1378,65
6059110500,"Census Tract 1105, Orange County, California",2543,91
6059110603,"Census Tract 1106.03, Orange County, California",2613,98
6059110604,"Census Tract 1106.04, Orange County, California",2609,96
6059110605,"Census Tract 1106.05, Orange County, California",2225,53
6059110606,"Census Tract 1106.06, Orange County, California",1264,51
6059110607,"Census Tract 1106.07, Orange County, California",1177,41
6061020101,"Census Tract 201.01, Placer County, California",1510,25
6061020102,"Census Tract 201.02, Placer County, California",1435,20
6061020103,"Census Tract 201.03, Placer County, California",1213,33
6061020104,"Census Tract 201.04, Placer County, California",2033,25
6061020105,"Census Tract 201.05, Placer County, California",1973,21
6061020106,"Census Tract 201.06, Placer County, California",1721,33
6061020107,"Census Tract 201.07, Placer County, California",1797,84
6061020200,"Census Tract 202, Placer County, California",2782,95
6061020300,"Census Tract 203, Placer County, California",2290,161
6061020400,"Census Tract 204, Placer County, California",2545,188
6061020500,"Census Tract 205, Placer County, California",3002,75
6061020601,"Census Tract 206.01, Placer County, California",2705,107
6061020602,"Census Tract 206.02, Placer County, California",2761,69
6061020604,"Census Tract 206.04, Placer County, California",2229,58
6061020605,"Census Tract 206.05, Placer County, California",1997,89
6061020606,"Census Tract 206.06, Placer County, California",1479,51
6061020702,"Census Tract 207.02, Placer County, California",2836,67
6061020703,"Census Tract 207.03, Placer County, California",2492,67
6061020704,"Census Tract 207.04, Placer County, California",2895,106
6061020705,"Census Tract 207.05, Placer County, California",3630,79
6061020800,"Census Tract 208, Placer County, California",3192,97
6061020901,"Census Tract 209.01, Placer County, California",1111,47
6061020902,"Census Tract 209.02, Placer County, California",3683,113
6061021003,"Census Tract 210.03, Placer County, California",2324,104
6061021004,"Census Tract 210.04, Placer County, California",4801,162
6061021005,"Census Tract 210.05, Placer County, California",4321,109
6061021006,"Census Tract 210.06, Placer County, California",3141,92
6061021007,"Census Tract 210.07, Placer County, California",5956,146
6061021008,"Census Tract 210.08, Placer County, California",3338,110
6061021103,"Census Tract 211.03, Placer County, California",1410,84
6061021104,"Census Tract 211.04, Placer County, California",3998,119
